1	N	48
1	J	48
0	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	114
0	R	115
0	W	115
4	J	2633
4	R	2633
4	W	2633
0	R	2633
4	J	2728
4	R	2728
4	W	2728
0	R	2728
4	J	2933
4	R	2933
4	W	2933
0	R	2933
4	J	3006
4	R	3006
4	W	3006
0	R	3006
3	J	3066
3	R	3066
3	W	3066
0	R	3066
4	J	3154
4	R	3154
4	W	3155
0	R	3155
4	J	3295
4	R	3295
4	W	3295
0	R	3295
4	J	3318
4	R	3318
4	W	3318
0	R	3318
4	J	3482
4	R	3482
4	W	3482
0	R	3482
4	J	3548
4	R	3548
4	W	3548
0	R	3548
4	J	3657
4	R	3657
4	W	3657
0	R	3657
4	J	4294
4	R	4294
4	W	4294
0	R	4295
4	J	4376
4	R	4376
4	W	4376
0	R	4376
4	J	5107
4	R	5107
4	W	5107
0	R	5107
4	J	5162
4	R	5162
4	W	5162
0	R	5162
4	J	5219
4	R	5219
4	W	5219
0	R	5219
4	J	5312
4	R	5312
4	W	5312
0	R	5312
4	J	5357
4	R	5357
4	W	5357
0	R	5357
4	J	5431
4	R	5431
4	W	5431
0	R	5431
4	J	5506
4	R	5506
4	W	5507
0	R	5507
4	J	5672
4	R	5672
4	W	5672
0	R	5672
4	J	7042
4	R	7042
4	W	7042
0	R	7042
4	J	7195
4	R	7196
4	W	7196
0	R	7196
4	J	7206
4	R	7206
4	W	7206
0	R	7206
4	J	7326
4	R	7326
4	W	7326
0	R	7326
4	J	7606
4	R	7606
4	W	7607
0	R	7607
4	J	7702
4	R	7702
4	W	7702
0	R	7702
4	J	8760
4	R	8760
4	W	8760
0	R	8760
4	J	8907
4	R	8907
4	W	8907
0	R	8907
4	J	9157
4	R	9157
4	W	9157
0	R	9157
4	J	9229
4	R	9229
4	W	9229
0	R	9229
4	J	10377
4	R	10377
4	W	10377
0	R	10377
4	J	10461
4	R	10461
4	W	10461
0	R	10461
4	J	10700
4	R	10700
4	W	10700
0	R	10700
4	J	10786
4	R	10786
4	W	10786
0	R	10786
4	J	10830
4	R	10830
4	W	10830
0	R	10830
4	J	10930
4	R	10930
4	W	10930
0	R	10930
4	J	10997
4	R	10997
4	W	10997
0	R	10998
4	J	11078
4	R	11078
4	W	11078
0	R	11078
4	J	11165
4	R	11165
4	W	11166
0	R	11166
4	J	11329
4	R	11329
4	W	11329
0	R	11329
4	J	13083
4	R	13083
6	N	13085
6	J	13086
4	W	13086
6	R	13086
7	N	13090
7	J	13091
6	W	13091
7	R	13091
7	E	13137
6	J	13137
6	R	13137
8	N	13138
8	J	13138
6	W	13139
8	R	13139
8	E	13213
6	J	13213
6	R	13213
9	N	13214
9	J	13214
6	W	13215
9	R	13215
9	E	13232
6	J	13232
6	R	13232
10	N	13234
10	J	13235
6	W	13235
10	R	13235
10	E	13310
6	J	13310
6	R	13310
6	E	13312
4	J	13312
4	R	13312
11	N	13313
11	J	13313
4	W	13314
11	R	13314
4	J	13316
11	E	13316
4	R	13316
4	W	13317
0	R	13317
4	J	14526
4	R	14526
4	W	14526
0	R	14526
4	J	14627
4	R	14627
4	W	14627
0	R	14627
4	J	14737
4	R	14737
4	W	14737
0	R	14737
4	J	14765
4	R	14765
4	W	14765
0	R	14766
4	J	14997
4	R	14997
4	W	14997
0	R	14997
4	J	15178
4	R	15179
4	W	15179
0	R	15179
4	J	15237
4	R	15237
4	W	15237
0	R	15237
4	J	15363
4	R	15363
4	W	15363
0	R	15363
4	J	15381
4	R	15381
4	W	15381
0	R	15381
